FROM_WALLET_ID,TO_WALLET_ID,COIN_ID,AMOUNT,FEE,TXN_STATUS,TXN_TIMESTAMP,NOTES
1,2,1,0.5,0.01,SUCCESS,2024-01-10 14:30:00,Initial test transfer
3,1,2,10.0,0.00,SUCCESS,2024-01-11 09:15:00,Deposit from external
1,4,1,0.1,0.005,SUCCESS,2024-01-12 11:20:00,Internal exchange
2,3,3,1000.0,2.00,PENDING,2024-01-13 16:45:00,Should be skipped by WHEN clause
4,1,2,5.5,0.05,SUCCESS,2024-01-14 08:00:00,Regular transfer
2,3,1,2.0,0.00,SUCCESS,2024-01-15 10:10:00,Direct deposit
5,2,4,500.0,5.00,SUCCESS,2024-01-16 12:30:00,Payment for services
1,2,1,0.05,0.001,SUCCESS,2024-01-17 19:40:00,ATM withdrawal
2,4,5,50.0,0.50,FAILED,2024-01-18 14:22:00,Should be skipped by WHEN clause
3,1,3,250.0,1.25,SUCCESS,2024-01-19 11:11:00,Invoice payment
4,5,2,1.2,0.012,SUCCESS,2024-01-20 09:05:00,Standard transaction
1,3,1,0.3,0.003,SUCCESS,2024-01-21 15:55:00,Payment sent
5,2,4,100.0,0.00,SUCCESS,2024-01-22 08:30:00,Funding account
2,1,5,10.0,0.10,SUCCESS,2024-01-23 17:45:00,Refund processed
3,4,3,500.0,2.50,SUCCESS,2024-01-24 10:20:00,Converting assets
4,3,2,2.0,0.04,SUCCESS,2024-01-25 13:15:00,Cashing out
1,5,1,0.01,0.0001,SUCCESS,2024-01-26 16:30:00,Micro transaction
2,3,5,20.0,0.20,SUCCESS,2024-01-27 11:45:00,Settlement
5,1,4,200.0,2.00,CANCELLED,2024-01-28 09:00:00,Should be skipped by WHEN clause
3,2,3,100.0,1.00,SUCCESS,2024-01-29 14:10:00,Final test transfer
